---
1071828764186  0.4 0.4 0.4 0.55 0.55 0.55 0.4 0.4 0.4 0.45 0.45 0.45  1 1731
1071828767935  0.4 0.4 0.4 0.5 0.5 0.5 0.4 0.4 0.4 0.5 0.5 0.5  0 2256
1071828772205  0.464377749475 0.464377749475 0.464377749475 0.604398874728 0.604398874728 0.604398874728 0.435622250525 0.435622250525 0.435622250525 0.595601125272 0.595601125272 0.595601125272  1 3270
1071828777495  0.34282265159 0.34282265159 0.34282265159 0.486788056591 0.486788056591 0.486788056591 0.35717734841 0.35717734841 0.35717734841 0.513211943409 0.513211943409 0.513211943409  0 1296
1071828780815  0.360620534432 0.360620534432 0.360620534432 0.610643027164 0.610643027164 0.610643027164 0.339379465568 0.339379465568 0.339379465568 0.589356972836 0.589356972836 0.589356972836  0 3336
1071828786176  0.562861012229 0.562861012229 0.562861012229 0.592211281025 0.592211281025 0.592211281025 0.537138987771 0.537138987771 0.537138987771 0.607788718975 0.607788718975 0.607788718975  1 1158
1071828789344  0.444087339688 0.444087339688 0.444087339688 0.513824262254 0.513824262254 0.513824262254 0.455912660312 0.455912660312 0.455912660312 0.486175737746 0.486175737746 0.486175737746  1 1506
1071828792874  0.336055985101 0.336055985101 0.336055985101 0.394375568711 0.394375568711 0.394375568711 0.363944014899 0.363944014899 0.363944014899 0.405624431289 0.405624431289 0.405624431289  1 1240
1071828796124  0.448602824259 0.448602824259 0.448602824259 0.608338911264 0.608338911264 0.608338911264 0.451397175741 0.451397175741 0.451397175741 0.591661088736 0.591661088736 0.591661088736  0 10740
1071828808884  0.322772491184 0.322772491184 0.322772491184 0.519791301986 0.519791301986 0.519791301986 0.377227508816 0.377227508816 0.377227508816 0.480208698014 0.480208698014 0.480208698014  1 847
1071828811842  0.329480516334 0.329480516334 0.329480516334 0.626683021956 0.626683021956 0.626683021956 0.370519483666 0.370519483666 0.370519483666 0.573316978044 0.573316978044 0.573316978044  1 1612
1071828815475  0.441858562423 0.441858562423 0.441858562423 0.497718216638 0.497718216638 0.497718216638 0.458141437577 0.458141437577 0.458141437577 0.502281783362 0.502281783362 0.502281783362  0 17058
1071828834544  0.352112297038 0.352112297038 0.352112297038 0.39181295277 0.39181295277 0.39181295277 0.347887702962 0.347887702962 0.347887702962 0.40818704723 0.40818704723 0.40818704723  1 1343
1071828837904  0.555286449534 0.555286449534 0.555286449534 0.606598711423 0.606598711423 0.606598711423 0.544713550466 0.544713550466 0.544713550466 0.593401288577 0.593401288577 0.593401288577  1 4500
1071828844424  0.368150439426 0.368150439426 0.368150439426 0.505371964459 0.505371964459 0.505371964459 0.331849560574 0.331849560574 0.331849560574 0.494628035541 0.494628035541 0.494628035541  1 6614
1071828853056  0.368928709744 0.368928709744 0.368928709744 0.600020022911 0.600020022911 0.600020022911 0.331071290256 0.331071290256 0.331071290256 0.599979977089 0.599979977089 0.599979977089  1 8267
1071828863334  0.343529132603 0.343529132603 0.343529132603 0.401798534447 0.401798534447 0.401798534447 0.356470867397 0.356470867397 0.356470867397 0.398201465553 0.398201465553 0.398201465553  0 3011
1071828868356  0.547560278847 0.547560278847 0.547560278847 0.606257364599 0.606257364599 0.606257364599 0.552439721153 0.552439721153 0.552439721153 0.593742635401 0.593742635401 0.593742635401  0 4764
1071828875146  0.459366401921 0.459366401921 0.459366401921 0.509583533972 0.509583533972 0.509583533972 0.440633598079 0.440633598079 0.440633598079 0.490416466028 0.490416466028 0.490416466028  0 6529
1071828883684  0.441474153737 0.441474153737 0.441474153737 0.610338450263 0.610338450263 0.610338450263 0.458525846263 0.458525846263 0.458525846263 0.589661549737 0.589661549737 0.589661549737  0 2463
1071828888166  0.350012633603 0.350012633603 0.350012633603 0.588056791565 0.588056791565 0.588056791565 0.349987366397 0.349987366397 0.349987366397 0.611943208435 0.611943208435 0.611943208435  1 2234
1071828892415  0.34661051957 0.34661051957 0.34661051957 0.511452153061 0.511452153061 0.511452153061 0.35338948043 0.35338948043 0.35338948043 0.488547846939 0.488547846939 0.488547846939  0 13328
1071828907754  0.551470637102 0.551470637102 0.551470637102 0.586680434134 0.586680434134 0.586680434134 0.548529362898 0.548529362898 0.548529362898 0.613319565866 0.613319565866 0.613319565866  1 1802
1071828911564  0.449335600457 0.449335600457 0.449335600457 0.618917056503 0.618917056503 0.618917056503 0.450664399543 0.450664399543 0.450664399543 0.581082943497 0.581082943497 0.581082943497  1 10199
1071828923776  0.45 0.45 0.45 0.5 0.5 0.5 0.45 0.45 0.45 0.5 0.5 0.5  0 3663
1071828929454  0.35 0.35 0.35 0.4 0.4 0.4 0.35 0.35 0.35 0.4 0.4 0.4  1 10051
1071828941524  0.35 0.35 0.35 0.6 0.6 0.6 0.35 0.35 0.35 0.6 0.6 0.6  1 10869
1071828954404  0.557933392023 0.557933392023 0.557933392023 0.589200236143 0.589200236143 0.589200236143 0.542066607977 0.542066607977 0.542066607977 0.610799763857 0.610799763857 0.610799763857  1 1200
1071828957624  0.353526015885 0.353526015885 0.353526015885 0.533475365309 0.533475365309 0.533475365309 0.346473984115 0.346473984115 0.346473984115 0.466524634691 0.466524634691 0.466524634691  1 7670
1071828967304  0.35 0.35 0.35 0.4 0.4 0.4 0.35 0.35 0.35 0.4 0.4 0.4  0 15294
1071828984614  0.43126275715 0.43126275715 0.43126275715 0.497314449055 0.497314449055 0.497314449055 0.46873724285 0.46873724285 0.46873724285 0.502685550945 0.502685550945 0.502685550945  1 1028
1071828987654  0.432707035559 0.432707035559 0.432707035559 0.612329715776 0.612329715776 0.612329715776 0.467292964441 0.467292964441 0.467292964441 0.587670284224 0.587670284224 0.587670284224  1 1722
1071828991394  0.555984475495 0.555984475495 0.555984475495 0.599874706763 0.599874706763 0.599874706763 0.544015524505 0.544015524505 0.544015524505 0.600125293237 0.600125293237 0.600125293237  1 15850
1071829009254  0.361542358984 0.361542358984 0.361542358984 0.393192095959 0.393192095959 0.393192095959 0.338457641016 0.338457641016 0.338457641016 0.406807904041 0.406807904041 0.406807904041  1 16999
1071829028266  0.439592246669 0.439592246669 0.439592246669 0.481486567556 0.481486567556 0.481486567556 0.460407753331 0.460407753331 0.460407753331 0.518513432444 0.518513432444 0.518513432444  0 5689
1071829035976  0.366382732044 0.366382732044 0.366382732044 0.609481695222 0.609481695222 0.609481695222 0.333617267956 0.333617267956 0.333617267956 0.590518304778 0.590518304778 0.590518304778  0 18953
1071829056946  0.358634060256 0.358634060256 0.358634060256 0.480595837721 0.480595837721 0.480595837721 0.341365939744 0.341365939744 0.341365939744 0.519404162279 0.519404162279 0.519404162279  1 1467
