---
Control_R 2786 0 9  1 -684107428 -302391451
Control_L 4912 1 15  0 397199134 -2135594153
Control_L 6835 1 9  0 1069257238 -1236958614
Control_R 2931 1 12  1 -1906303351 -1658463660
Control_L 1880 0 9  0 1698188572 1922894840
Control_L 9884 0 18  1 -1064782409 2079506528
Control_L 2374 1 9  0 -999126710 110389752
Control_R 1758 1 9  1 -1814158767 -2087619140
Control_R 3346 1 15  1 -310036915 1806869744
Control_R 2443 1 9  1 1729111819 -60548849
Control_R 3998 0 9  1 953507205 -972587565
Control_L 6719 0 9  0 -1424471712 -1968889290
Control_R 7090 0 15  1 1042237830 1035764396
Control_R 5078 1 18  1 782553797 1718748879
Control_R 2406 1 12  1 -1589508711 -664659094
Control_R 1654 1 9  1 582978303 1372700318
Control_L 8071 1 15  0 701742574 -920932780
