Control_R 5526 1 9  1 1139266467 550717626
Control_R 4012 0 15  1 1160382522 1827876045
Control_R 2292 0 15  1 -158975773 854956056
Control_L 5013 1 9  0 1363978183 1432077791
Control_R 2965 1 15  1 -147544549 -430636192
Control_L 11624 0 9  0 536239475 24481807
Control_L 6191 1 15  0 -98064422 1344851366
Control_R 8904 0 21  1 39613818 686188979
Control_R 3159 1 9  1 1930491212 988090256
Control_R 2315 1 9  1 702610067 -1169632460
Control_L 7392 0 15  0 -1181479216 1069827003
Control_R 5693 1 21  1 39613818 686188979
Control_R 910 1 9  1 -371966546 -832353794
Control_L 8752 0 15  0 777529307 -474986517
Control_R 10829 0 21  0 916398215 -89046062
Control_L 10951 1 15  0 777529307 -474986517
Control_L 6979 1 21  0 965254896 -1175139848
Control_L 6082 1 21  0 948537344 -1619912398
Control_L 5549 0 21  0 948537344 -1619912398
Control_L 5725 1 21  0 -571240428 907927731
Control_L 4802 0 21  0 965254896 -1175139848
Control_R 9410 0 21  1 -975112264 -2134877365
Control_R 3702 0 9  1 1883569430 -400632800
Control_R 2684 1 9  1 1883569430 -400632800
Control_L 14485 1 9  0 536239475 24481807
Control_L 5623 0 9  0 105289937 353569052
Control_L 12865 1 21  0 916398215 -89046062
Control_R 5636 0 15  1 -1855971596 1367257869
Control_R 3935 0 9  1 1139266467 550717626
Control_R 4687 0 21  1 -1528446705 -2106689681
Control_L 8384 0 15  0 1700989702 900773848
Control_R 1622 0 9  1 1930491212 988090256
Control_L 3520 1 9  0 -2026974384 -1256543979
Control_R 7840 0 21  1 -1169592732 584942315
Control_R 2746 0 15  1 -147544549 -430636192
Control_R 2356 1 15  1 -1137749391 1511663539
Control_L 9546 0 15  0 2049654288 -1654890474
Control_L 2779 1 9  0 564316063 2103822475
Control_R 4904 1 21  1 -1528446705 -2106689681
Control_L 16010 0 9  0 -699910607 -381090399
Control_L 6859 1 21  0 -1201981873 1380174860
Control_L 14463 1 21  0 -816800390 1760425489
Control_R 4741 0 21  1 258152785 -431356010
Control_R 19295 1 15  1 -1855971596 1367257869
Control_L 9584 0 21  0 -1201981873 1380174860
Control_R 2874 1 21  1 258152785 -431356010
Control_R 7410 1 21  1 -975112264 -2134877365
Control_R 5177 0 9  1 -478979646 -1691799601
Control_L 8719 1 15  0 1700989702 900773848
Control_R 6766 0 15  1 1991926554 1820082400
Control_R 1668 0 15  1 -1137749391 1511663539
Control_L 6579 0 21  0 -816800390 1760425489
Control_L 2643 0 9  0 564316063 2103822475
Control_L 6553 1 15  0 -1181479216 1069827003
Control_L 5044 0 15  0 -98064422 1344851366
Control_L 6655 1 9  0 105289937 353569052
Control_L 5709 0 15  0 -1237603396 -1871145641
Control_L 14161 1 9  0 -699910607 -381090399
Control_R 14863 1 21  1 -1169592732 584942315
Control_R 1749 0 9  1 702610067 -1169632460
Control_L 8520 1 15  0 2049654288 -1654890474
Control_R 4558 1 15  1 1991926554 1820082400
Control_L 6434 0 9  0 -2026974384 -1256543979
Control_R 1901 0 9  1 -371966546 -832353794
Control_R 11392 0 21  1 1949218329 -762571128
Control_L 7076 0 9  0 1363978183 1432077791
Control_L 6744 0 21  0 -571240428 907927731
Control_R 2505 1 21  1 1949218329 -762571128
Control_R 11848 1 15  1 -158975773 854956056
Control_R 2451 1 15  1 1160382522 1827876045
Control_R 1533 1 9  1 -478979646 -1691799601
Control_L 9543 1 15  0 -1237603396 -1871145641
