Control_L 9185 0 96  0 -1477184126 867788337
Control_L 7691 0 24  0 901018930 -1347126176
Control_L 4694 0 96  1 -259693280 -584778679
Control_R 3272 0 96  1 -238393376 -2040578432
Control_L 9515 1 24  0 2040703329 -1145018707
Control_L 24669 0 48  0 -1388326215 296383589
Control_L 6156 0 24  0 371020773 -863502458
Control_L 4891 0 24  1 909941360 2090896814
Control_L 7719 0 24  0 -824557590 91098079
Control_L 4564 0 48  0 1216123273 -1881019244
Control_L 10563 1 96  0 483230216 1077682752
Control_R 7793 1 48  1 645899237 -889285906
Control_L 6667 1 24  0 -1459946489 -1001556404
Control_R 8169 0 96  1 83187747 -1904502991
Control_R 4775 0 24  1 -1628303877 -620693389
Control_R 19758 1 96  1 1367642465 -834948566
Control_R 7219 1 96  1 1856466914 -1261296271
Control_L 10257 1 24  0 -824557590 91098079
Control_R 13701 0 48  1 -1230213178 -1038765982
Control_L 7124 1 48  0 1216123273 -1881019244
Control_L 6138 1 96  0 -1442990352 -638245537
Control_R 5698 0 48  1 -1540099506 -1685244503
Control_L 11008 0 48  1 -2008763471 -1622496732
Control_L 15721 1 96  0 -700784790 1622189314
Control_L 3025 0 24  0 1364495952 -1729873709
Control_L 11349 0 96  0 -1442990352 -638245537
Control_L 17375 1 48  0 1134349790 -1217756886
Control_L 6985 0 48  0 1134349790 -1217756886
Control_R 12635 1 48  1 -2008763471 -1622496732
Control_R 17259 0 24  1 767887203 84240720
Control_L 29997 0 48  0 -513309073 -640692379
Control_R 1767 1 24  1 -177716727 -1919602394
Control_R 2661 1 24  1 909941360 2090896814
Control_R 18174 1 24  1 382538959 -891794581
Control_R 6769 1 96  1 -238393376 -2040578432
Control_R 12017 1 48  1 1748078113 442875225
Control_L 10728 0 48  0 -1093327899 494780150
Control_R 14062 0 96  1 1856466914 -1261296271
Control_R 6191 0 48  1 1748078113 442875225
Control_R 10596 0 96  1 1367642465 -834948566
Control_R 12455 1 48  1 -1540099506 -1685244503
Control_R 3490 1 24  1 -1628303877 -620693389
Control_R 17401 0 48  1 -963076948 -2129612650
Control_L 8975 0 24  0 2040703329 -1145018707
Control_R 80504 1 96  1 -917033077 2146518907
Control_R 20925 1 24  0 901018930 -1347126176
Control_R 12588 0 48  1 645899237 -889285906
Control_L 35068 0 96  1 -917033077 2146518907
Control_L 8417 1 48  0 -1093327899 494780150
Control_L 50790 0 96  0 1663736443 18068846
Control_L 18625 1 96  0 1216520333 -1297286190
Control_R 20809 0 24  1 382538959 -891794581
Control_R 6974 1 24  1 767887203 84240720
Control_L 39869 1 48  0 -1388326215 296383589
Control_R 20405 1 96  1 83187747 -1904502991
Control_L 15435 1 96  0 1663736443 18068846
Control_R 3907 0 24  1 -696056038 -296302297
Control_L 17812 0 96  0 483230216 1077682752
Control_R 5911 1 48  1 -963076948 -2129612650
Control_R 18208 0 24  1 -177716727 -1919602394
Control_L 24824 1 48  0 -513309073 -640692379
Control_L 14932 0 96  0 1216520333 -1297286190
Control_L 24999 0 96  0 -700784790 1622189314
Control_L 10684 0 48  0 1176668875 1454546897
Control_L 4695 1 48  0 1176668875 1454546897
Control_L 6751 1 24  0 1364495952 -1729873709
Control_L 15240 1 96  0 -1477184126 867788337
Control_R 24811 1 96  1 -259693280 -584778679
Control_R 10672 1 48  1 -1230213178 -1038765982
Control_L 8608 0 24  0 -1459946489 -1001556404
Control_L 14530 1 24  0 371020773 -863502458
Control_R 4165 1 24  1 -696056038 -296302297
