Control_R 2677 1 24  1 489208237 297864721
Control_L 11411 1 96  1 1175269108 -1568357010
Control_L 1795 0 24  1 -1081270042 -764092076
Control_R 3337 1 48  1 -1760072217 -817404041
Control_R 12720 1 96  1 -542430842 -196063335
Control_R 4127 1 48  1 352953188 1977902280
Control_L 9441 0 48  0 1424063904 -1884850430
Control_L 10829 1 24  0 967753092 -2054342929
Control_R 4182 0 24  1 -428573647 1199875739
Control_R 6383 1 48  1 -30465062 293400315
Control_L 15576 1 48  0 -2078252906 -657105833
Control_R 9026 0 96  1 -605215759 1479720882
Control_R 19489 0 96  1 -542430842 -196063335
Control_L 7016 1 48  0 1359097889 1408623909
Control_R 17152 0 96  0 315137012 1231685536
Control_L 18807 1 96  1 -853434391 -2066883455
Control_L 6634 1 48  0 -150741134 -806865222
Control_L 7069 1 96  0 1556910842 -860815470
Control_L 10140 1 96  0 250672148 870714093
Control_L 13620 1 96  0 681800845 222126136
Control_L 3836 0 24  0 1770673114 -1149678512
Control_R 8175 1 24  1 1733980158 -993872676
Control_R 15429 1 96  0 315137012 1231685536
Control_L 7340 0 24  0 -1233477777 446747776
Control_L 25474 0 96  0 250672148 870714093
Control_L 9371 0 24  0 -1196667873 971187502
Control_L 6092 0 24  0 933741146 -1292588426
Control_L 7850 0 48  1 454607705 1403931634
Control_L 10580 0 96  0 517471872 715514904
Control_L 7678 1 24  0 933741146 -1292588426
Control_R 26672 0 96  1 2018983989 -565322389
Control_L 17295 0 24  0 967753092 -2054342929
Control_R 2557 1 48  1 1943661320 1916929509
Control_L 11465 1 48  0 1424063904 -1884850430
Control_R 12524 0 48  1 -1760072217 -817404041
Control_R 2900 0 24  1 -1101826596 818166935
Control_L 8122 1 48  0 1464319056 -1669562129
Control_R 3057 0 24  1 489208237 297864721
Control_R 3081 1 24  1 -428573647 1199875739
Control_R 8145 0 48  1 352953188 1977902280
Control_R 3922 0 48  1 1943661320 1916929509
Control_R 3880 0 48  1 -736297773 -1515467209
Control_R 12931 0 96  1 1175269108 -1568357010
Control_L 11040 1 48  0 2073900720 417944769
Control_L 10182 0 48  0 1359097889 1408623909
Control_R 4596 1 24  1 -1101826596 818166935
Control_L 8918 1 24  0 1068392023 2074483271
Control_L 11946 0 48  0 -150741134 -806865222
Control_R 16491 0 96  1 -853434391 -2066883455
Control_L 13399 0 96  0 1556910842 -860815470
Control_R 3240 1 48  1 -736297773 -1515467209
Control_L 9111 1 24  0 -1233477777 446747776
Control_L 9376 0 96  0 681800845 222126136
Control_R 6392 0 24  1 1733980158 -993872676
Control_L 20094 1 96  0 -299955020 -352393519
Control_R 5330 0 48  1 -30465062 293400315
Control_L 5231 0 48  0 1464319056 -1669562129
Control_R 9526 1 24  1 -93721852 1678825503
Control_L 8976 0 48  0 -2078252906 -657105833
Control_R 3366 0 24  1 -93721852 1678825503
Control_R 5497 1 96  1 -605215759 1479720882
Control_L 3922 0 24  0 1068392023 2074483271
Control_R 1645 1 24  1 -1081270042 -764092076
Control_L 21053 1 96  0 517471872 715514904
Control_L 13825 0 96  0 -299955020 -352393519
Control_L 7360 0 48  0 2073900720 417944769
Control_R 26416 1 96  1 900426816 2015271011
Control_L 6221 1 24  0 -1196667873 971187502
Control_R 19564 1 96  1 2018983989 -565322389
Control_R 5464 0 96  1 900426816 2015271011
Control_R 3669 1 48  1 454607705 1403931634
Control_L 18738 1 24  0 1770673114 -1149678512
